epoch,accuracy,loss,val_accuracy,val_loss
0,0.9037086963653564,0.21958783268928528,0.932235062122345,0.16135500371456146
1,0.9195196032524109,0.18775677680969238,0.8240139484405518,0.5419658422470093
2,0.9261861443519592,0.17423312366008759,0.8749247789382935,0.3857935667037964
3,0.9293836355209351,0.16582335531711578,0.9320766925811768,0.15383121371269226
4,0.9321602582931519,0.15931598842144012,0.933977484703064,0.1480034440755844
5,0.9335451126098633,0.15476718544960022,0.9449390172958374,0.1324126273393631
6,0.9350318908691406,0.15081578493118286,0.9397433996200562,0.13900980353355408
7,0.9361927509307861,0.14833250641822815,0.9367970824241638,0.15647388994693756
8,0.9381071925163269,0.14491122961044312,0.9440836310386658,0.13071836531162262
9,0.9381411075592041,0.14288915693759918,0.947536826133728,0.12535957992076874
10,0.9396889209747314,0.14048634469509125,0.9434500336647034,0.14506211876869202
11,0.9404017329216003,0.13794460892677307,0.9356566071510315,0.1627465784549713
12,0.9411213397979736,0.136043980717659,0.9303975701332092,0.22070501744747162
13,0.942200779914856,0.13202285766601562,0.9365436434745789,0.17584221065044403
14,0.9433820247650146,0.1305704265832901,0.9456043243408203,0.14553430676460266
15,0.950014591217041,0.11663114279508591,0.9523839950561523,0.1158471554517746
16,0.9508563876152039,0.11352283507585526,0.9511484503746033,0.11659834533929825
17,0.9510804414749146,0.11228074878454208,0.9505781531333923,0.11699613183736801
18,0.9517932534217834,0.11100000888109207,0.9512118101119995,0.1166725754737854
19,0.951555609703064,0.11045855283737183,0.9518454074859619,0.11614159494638443
20,0.9522820115089417,0.10908065736293793,0.949532687664032,0.11911579221487045
21,0.9538773894309998,0.10685977339744568,0.9470933079719543,0.123435378074646
22,0.9535990357398987,0.10667987167835236,0.9467131495475769,0.12400109320878983
23,0.9535040259361267,0.10674350708723068,0.9469348788261414,0.12305953353643417
24,0.953768789768219,0.10595172643661499,0.9466180801391602,0.12349099665880203
25,0.9538094997406006,0.10608594864606857,0.9472516775131226,0.12279211729764938
